,Rank,Value,Name,Price,Signature,Comments,Tone Grade,Technical Grade,Setup,Status
1,,,,,,,,,,
2,S-,★,Elysian Annihilator (2021),3700,U-shaped,,S-,S,2EST 4BA 1DD,Zeppelin & Co demo unit
3,S-,★★,"Hidition Viento
(B-mode, custom)",950,Variable,Best-in-class tuning and tonal balance with near-perfect coherency. Recommended as a custom-fit.,S+,A+,4BA,Zeppelin & Co demo unit
4,S-,★★,ThieAudio Monarch Mk2,1000,Neutral with bass boost,,S+,A+,2EST 6BA 1DD,Available for demo at The Hangout
5,A+,★,Hidition NT6,1050,Neutral,"If Etymotic made a multi-BA IEM, this would be the closest to that dream",S-,A+,6BA,Null Audio demo unit
6,A+,★,ThieAudio V16 Divinity,1500,Neutral with bass boost,,S-,A+,16BA,Available for demo at The Hangout
7,A+,★,Sony IER-Z1R,1700,Mild V-shape,"Extended yet natural treble, realistic sub-bass focus and spacious imaging capabilities.",A+,S-,1BA 2DD,Personal unit
8,A+,★★★,Moondrop Variations,520,U-shaped,Sub-bass-focused signature with Moondrop's clean tuning makes this one of the best $500 tribrids.,S,A,2EST 2BA 1DD,Available for demo at The Hangout
9,A+,★,qdc 8SL/Gemini/Anole VX,"1410 (8SL)
2180 (Gemini)
2560 (Anole VX)",Mild V-shape,Reference tuning with good tonality and top-level resolution. Similar tunings across top tier models.,A,S,8/10BA,Music Sanctuary demo unit
10,A+,★★,Sennheiser IE600,700,U-shaped,"Well-tuned mids, powerful yet controlled sub-bass, with highly extended (and somewhat spicy) treble.",A+,A+,DD,Available for demo at The Hangout
11,A+,,Softears RS10,2100,U-shaped,A little shouty and intense but very resolving and well-defined. A somewhat refined Moondrop S8.,A+,A+,10BA,Showfloor demo unit
12,A+,,Oriolus Traillii,6000,Neutral with bass boost,,A+,A+,4EST 8BA,Zeppelin & Co demo unit
13,A,★★,Moondrop S8,700,U-shaped,"More faithful to the Harman target compared to the A8, with a smoother bass response.",S-,A,8BA,Oardio demo unit
14,A,★★,ThieAudio Monarch,730,Neutral with bass boost,Neutral with bass boost,S-,A,2EST 6BA 1DD,Available for demo at The Hangout
15,A,★★★,Moondrop Blessing 2,320,Mild V-shape,"Very well tuned from bass to treble, perhaps lacking in the last octaves of extension.",A+,A,4BA 1DD,Available for demo at The Hangout
16,A,★★,ThieAudio Oracle,540,Neutral with bass boost,Functionally similar to the Clairvoyance with slight cutbacks in overall clarity and resolution.,S,A-,2EST 2BA 1DD,Available for demo at The Hangout
17,A,★,Softears RSV,730,Neutral with bass boost,"Very well-balanced tonality with surprisingly good timbre, though slightly lacking definition.",S,A-,5BA,Available for demo at The Hangout
18,A,,64 Audio A/U12t,2000,Neutral with bass boost,"Amazing bass (for a BA), top-tier resolution and detail-oriented signature.",A,A+,12BA,Music Sanctuary demo unit
19,A,,StereoPravda SB7,2500,Bright neutral,Technically proficient but marred by a sharp timbre. Interesting concept.,A-,S,7BA,Zeppelin & Co demo unit
20,A,,Hidition Violet,3300,Neutral with bass boost,"Strong sub-bass presence, slightly cut-back upper mids. A fun IEM through and through.",A,A+,11BA,Zeppelin & Co demo unit
21,A,,Empire Ears Odin,3400,Mild V-shape,A Legend X with the bass properly controlled and the resolution one step higher.,A,A+,4EST 5BA 2DD,Zeppelin & Co demo unit
22,A,,Vision Ears Erlkonig,4800,Variable,"Good tonality, high resolution and an overall decent all-rounder.",A,A+,13BA,Third party unit
23,A,,Elysian X,4600,V-shaped,,A-,S-,4EST 4BA 1DD,Zeppelin & Co demo unit
24,A,★★★,DUNU Talos,200,Bright neutral,,A,A,1Planar 2BA,Available for demo at The Hangout
25,A,★★★,7Hz Timeless,220,Neutral with bass boost,"Easily the best-tuned planar IEM by a country mile, the Timeless is also no slouch on the technical front.",A,A,Planar,Available for demo at The Hangout
